audio_id,caption
playing_hammond_organ_03_01,An audio clip of playing hammond organ.
mouse_pattering_01_01,mouse pattering.
mouse_pattering_02_01,The sound of mouse pattering.
mouse_pattering_03_01,An audio clip of mouse pattering.
people_hiccup_01_01,people hiccup.
people_hiccup_02_01,The sound of people hiccup.
people_hiccup_03_01,An audio clip of people hiccup.
air_conditioning_noise_01_01,air conditioning noise.
air_conditioning_noise_02_01,The sound of air conditioning noise.
air_conditioning_noise_03_01,An audio clip of air conditioning noise.
playing_snare_drum_01_01,playing snare drum.
playing_snare_drum_02_01,The sound of playing snare drum.
playing_snare_drum_03_01,An audio clip of playing snare drum.
penguins_braying_01_01,penguins braying.
penguins_braying_02_01,The sound of penguins braying.
penguins_braying_03_01,An audio clip of penguins braying.
playing_hockey_01_01,playing hockey.
playing_hockey_02_01,The sound of playing hockey.
playing_hockey_03_01,An audio clip of playing hockey.
wood_thrush_calling_01_01,wood thrush calling.
wood_thrush_calling_02_01,The sound of wood thrush calling.
wood_thrush_calling_03_01,An audio clip of wood thrush calling.
stream_burbling_01_01,stream burbling.
stream_burbling_02_01,The sound of stream burbling.
stream_burbling_03_01,An audio clip of stream burbling.
playing_marimba_xylophone_01_01,"playing marimba, xylophone."
playing_marimba_xylophone_02_01,"The sound of playing marimba, xylophone."
playing_marimba_xylophone_03_01,"An audio clip of playing marimba, xylophone."
baby_laughter_01_01,baby laughter.
baby_laughter_02_01,The sound of baby laughter.
baby_laughter_03_01,An audio clip of baby laughter.
playing_tambourine_01_01,playing tambourine.
playing_tambourine_02_01,The sound of playing tambourine.
playing_tambourine_03_01,An audio clip of playing tambourine.
singing_bowl_01_01,singing bowl.
singing_bowl_02_01,The sound of singing bowl.
singing_bowl_03_01,An audio clip of singing bowl.
engine_accelerating_revving_vroom_01_01,"engine accelerating, revving, vroom."
engine_accelerating_revving_vroom_02_01,"The sound of engine accelerating, revving, vroom."
engine_accelerating_revving_vroom_03_01,"An audio clip of engine accelerating, revving, vroom."
yodelling_01_01,yodelling.
yodelling_02_01,The sound of yodelling.
yodelling_03_01,An audio clip of yodelling.
machine_gun_shooting_01_01,machine gun shooting.
machine_gun_shooting_02_01,The sound of machine gun shooting.
machine_gun_shooting_03_01,An audio clip of machine gun shooting.
electric_grinder_grinding_01_01,electric grinder grinding.
electric_grinder_grinding_02_01,The sound of electric grinder grinding.
electric_grinder_grinding_03_01,An audio clip of electric grinder grinding.
swimming_01_01,swimming.
swimming_02_01,The sound of swimming.
swimming_03_01,An audio clip of swimming.
electric_shaver_electric_razor_shaving_01_01,"electric shaver, electric razor shaving."
electric_shaver_electric_razor_shaving_02_01,"The sound of electric shaver, electric razor shaving."
electric_shaver_electric_razor_shaving_03_01,"An audio clip of electric shaver, electric razor shaving."
people_babbling_01_01,people babbling.
people_babbling_02_01,The sound of people babbling.
people_babbling_03_01,An audio clip of people babbling.
police_car_(siren)_01_01,police car (siren).
police_car_(siren)_02_01,The sound of police car (siren).
police_car_(siren)_03_01,An audio clip of police car (siren).
opening_or_closing_car_doors_01_01,opening or closing car doors.
opening_or_closing_car_doors_02_01,The sound of opening or closing car doors.
opening_or_closing_car_doors_03_01,An audio clip of opening or closing car doors.
fireworks_banging_01_01,fireworks banging.
fireworks_banging_02_01,The sound of fireworks banging.
fireworks_banging_03_01,An audio clip of fireworks banging.
people_giggling_01_01,people giggling.
people_giggling_02_01,The sound of people giggling.
people_giggling_03_01,An audio clip of people giggling.
playing_djembe_01_01,playing djembe.
playing_djembe_02_01,The sound of playing djembe.
playing_djembe_03_01,An audio clip of playing djembe.
baltimore_oriole_calling_01_01,baltimore oriole calling.
baltimore_oriole_calling_02_01,The sound of baltimore oriole calling.
baltimore_oriole_calling_03_01,An audio clip of baltimore oriole calling.
sliding_door_01_01,sliding door.
sliding_door_02_01,The sound of sliding door.
sliding_door_03_01,An audio clip of sliding door.
typing_on_computer_keyboard_01_01,typing on computer keyboard.
typing_on_computer_keyboard_02_01,The sound of typing on computer keyboard.
typing_on_computer_keyboard_03_01,An audio clip of typing on computer keyboard.
people_running_01_01,people running.
people_running_02_01,The sound of people running.
people_running_03_01,An audio clip of people running.
hail_01_01,hail.
hail_02_01,The sound of hail.
hail_03_01,An audio clip of hail.
driving_snowmobile_01_01,driving snowmobile.
driving_snowmobile_02_01,The sound of driving snowmobile.
driving_snowmobile_03_01,An audio clip of driving snowmobile.
sailing_01_01,sailing.
sailing_02_01,The sound of sailing.
sailing_03_01,An audio clip of sailing.
civil_defense_siren_01_01,civil defense siren.
civil_defense_siren_02_01,The sound of civil defense siren.
civil_defense_siren_03_01,An audio clip of civil defense siren.
plastic_bottle_crushing_01_01,plastic bottle crushing.
plastic_bottle_crushing_02_01,The sound of plastic bottle crushing.
plastic_bottle_crushing_03_01,An audio clip of plastic bottle crushing.
elephant_trumpeting_01_01,elephant trumpeting.
elephant_trumpeting_02_01,The sound of elephant trumpeting.
elephant_trumpeting_03_01,An audio clip of elephant trumpeting.
goose_honking_01_01,goose honking.
goose_honking_02_01,The sound of goose honking.
goose_honking_03_01,An audio clip of goose honking.
eating_with_cutlery_01_01,eating with cutlery.
eating_with_cutlery_02_01,The sound of eating with cutlery.
eating_with_cutlery_03_01,An audio clip of eating with cutlery.
dog_bow-wow_01_01,dog bow-wow.
dog_bow-wow_02_01,The sound of dog bow-wow.
dog_bow-wow_03_01,An audio clip of dog bow-wow.
cattle_bovinae_cowbell_01_01,"cattle, bovinae cowbell."
cattle_bovinae_cowbell_02_01,"The sound of cattle, bovinae cowbell."
cattle_bovinae_cowbell_03_01,"An audio clip of cattle, bovinae cowbell."
people_eating_crisps_01_01,people eating crisps.
people_eating_crisps_02_01,The sound of people eating crisps.
people_eating_crisps_03_01,An audio clip of people eating crisps.
skidding_01_01,skidding.
skidding_02_01,The sound of skidding.
skidding_03_01,An audio clip of skidding.
dog_barking_01_01,dog barking.
dog_barking_02_01,The sound of dog barking.
dog_barking_03_01,An audio clip of dog barking.
squishing_water_01_01,squishing water.
squishing_water_02_01,The sound of squishing water.
squishing_water_03_01,An audio clip of squishing water.
roller_coaster_running_01_01,roller coaster running.
roller_coaster_running_02_01,The sound of roller coaster running.
roller_coaster_running_03_01,An audio clip of roller coaster running.
smoke_detector_beeping_01_01,smoke detector beeping.
smoke_detector_beeping_02_01,The sound of smoke detector beeping.
smoke_detector_beeping_03_01,An audio clip of smoke detector beeping.
ocean_burbling_01_01,ocean burbling.
ocean_burbling_02_01,The sound of ocean burbling.
ocean_burbling_03_01,An audio clip of ocean burbling.
airplane_flyby_01_01,airplane flyby.
airplane_flyby_02_01,The sound of airplane flyby.
airplane_flyby_03_01,An audio clip of airplane flyby.
firing_cannon_01_01,firing cannon.
firing_cannon_02_01,The sound of firing cannon.
firing_cannon_03_01,An audio clip of firing cannon.
ripping_paper_01_01,ripping paper.
ripping_paper_02_01,The sound of ripping paper.
ripping_paper_03_01,An audio clip of ripping paper.
alligators_crocodiles_hissing_01_01,"alligators, crocodiles hissing."
alligators_crocodiles_hissing_02_01,"The sound of alligators, crocodiles hissing."
alligators_crocodiles_hissing_03_01,"An audio clip of alligators, crocodiles hissing."
cuckoo_bird_calling_01_01,cuckoo bird calling.
cuckoo_bird_calling_02_01,The sound of cuckoo bird calling.
cuckoo_bird_calling_03_01,An audio clip of cuckoo bird calling.
people_cheering_01_01,people cheering.
people_cheering_02_01,The sound of people cheering.
people_cheering_03_01,An audio clip of people cheering.
people_sniggering_01_01,people sniggering.
people_sniggering_02_01,The sound of people sniggering.
people_sniggering_03_01,An audio clip of people sniggering.
playing_badminton_01_01,playing badminton.
playing_badminton_02_01,The sound of playing badminton.
playing_badminton_03_01,An audio clip of playing badminton.
frog_croaking_01_01,frog croaking.
frog_croaking_02_01,The sound of frog croaking.
frog_croaking_03_01,An audio clip of frog croaking.
people_burping_01_01,people burping.
people_burping_02_01,The sound of people burping.
people_burping_03_01,An audio clip of people burping.
golf_driving_01_01,golf driving.
golf_driving_02_01,The sound of golf driving.
golf_driving_03_01,An audio clip of golf driving.
people_sneezing_01_01,people sneezing.
people_sneezing_02_01,The sound of people sneezing.
people_sneezing_03_01,An audio clip of people sneezing.
mynah_bird_singing_01_01,mynah bird singing.
mynah_bird_singing_02_01,The sound of mynah bird singing.
mynah_bird_singing_03_01,An audio clip of mynah bird singing.
splashing_water_01_01,splashing water.
splashing_water_02_01,The sound of splashing water.
splashing_water_03_01,An audio clip of splashing water.
cattle_mooing_01_01,cattle mooing.
cattle_mooing_02_01,The sound of cattle mooing.
cattle_mooing_03_01,An audio clip of cattle mooing.
rapping_01_01,rapping.
rapping_02_01,The sound of rapping.
rapping_03_01,An audio clip of rapping.
cat_purring_01_01,cat purring.
cat_purring_02_01,The sound of cat purring.
cat_purring_03_01,An audio clip of cat purring.
magpie_calling_01_01,magpie calling.
magpie_calling_02_01,The sound of magpie calling.
magpie_calling_03_01,An audio clip of magpie calling.
strike_lighter_01_01,strike lighter.
strike_lighter_02_01,The sound of strike lighter.
strike_lighter_03_01,An audio clip of strike lighter.
people_eating_01_01,people eating.
people_eating_02_01,The sound of people eating.
people_eating_03_01,An audio clip of people eating.
francolin_calling_01_01,francolin calling.
francolin_calling_02_01,The sound of francolin calling.
francolin_calling_03_01,An audio clip of francolin calling.
bird_squawking_01_01,bird squawking.
bird_squawking_02_01,The sound of bird squawking.
bird_squawking_03_01,An audio clip of bird squawking.
playing_vibraphone_01_01,playing vibraphone.
playing_vibraphone_02_01,The sound of playing vibraphone.
playing_vibraphone_03_01,An audio clip of playing vibraphone.
playing_mandolin_01_01,playing mandolin.
playing_mandolin_02_01,The sound of playing mandolin.
playing_mandolin_03_01,An audio clip of playing mandolin.
lip_smacking_01_01,lip smacking.
lip_smacking_02_01,The sound of lip smacking.
lip_smacking_03_01,An audio clip of lip smacking.
zebra_braying_01_01,zebra braying.
zebra_braying_02_01,The sound of zebra braying.
zebra_braying_03_01,An audio clip of zebra braying.
disc_scratching_01_01,disc scratching.
disc_scratching_02_01,The sound of disc scratching.
disc_scratching_03_01,An audio clip of disc scratching.
popping_popcorn_01_01,popping popcorn.
popping_popcorn_02_01,The sound of popping popcorn.
popping_popcorn_03_01,An audio clip of popping popcorn.
cat_caterwauling_01_01,cat caterwauling.
cat_caterwauling_02_01,The sound of cat caterwauling.
cat_caterwauling_03_01,An audio clip of cat caterwauling.
ferret_dooking_01_01,ferret dooking.
ferret_dooking_02_01,The sound of ferret dooking.
ferret_dooking_03_01,An audio clip of ferret dooking.
wind_rustling_leaves_01_01,wind rustling leaves.
wind_rustling_leaves_02_01,The sound of wind rustling leaves.
wind_rustling_leaves_03_01,An audio clip of wind rustling leaves.
elk_bugling_01_01,elk bugling.
elk_bugling_02_01,The sound of elk bugling.
elk_bugling_03_01,An audio clip of elk bugling.
barn_swallow_calling_01_01,barn swallow calling.
barn_swallow_calling_02_01,The sound of barn swallow calling.
barn_swallow_calling_03_01,An audio clip of barn swallow calling.
volcano_explosion_01_01,volcano explosion.
volcano_explosion_02_01,The sound of volcano explosion.
volcano_explosion_03_01,An audio clip of volcano explosion.
heart_sounds_heartbeat_01_01,"heart sounds, heartbeat."
heart_sounds_heartbeat_02_01,"The sound of heart sounds, heartbeat."
heart_sounds_heartbeat_03_01,"An audio clip of heart sounds, heartbeat."
firing_muskets_01_01,firing muskets.
firing_muskets_02_01,The sound of firing muskets.
firing_muskets_03_01,An audio clip of firing muskets.
mouse_squeaking_01_01,mouse squeaking.
mouse_squeaking_02_01,The sound of mouse squeaking.
mouse_squeaking_03_01,An audio clip of mouse squeaking.
playing_timbales_01_01,playing timbales.
playing_timbales_02_01,The sound of playing timbales.
playing_timbales_03_01,An audio clip of playing timbales.
people_slapping_01_01,people slapping.
people_slapping_02_01,The sound of people slapping.
people_slapping_03_01,An audio clip of people slapping.
telephone_bell_ringing_01_01,telephone bell ringing.
telephone_bell_ringing_02_01,The sound of telephone bell ringing.
telephone_bell_ringing_03_01,An audio clip of telephone bell ringing.
playing_shofar_01_01,playing shofar.
playing_shofar_02_01,The sound of playing shofar.
playing_shofar_03_01,An audio clip of playing shofar.
opening_or_closing_drawers_01_01,opening or closing drawers.
opening_or_closing_drawers_02_01,The sound of opening or closing drawers.
opening_or_closing_drawers_03_01,An audio clip of opening or closing drawers.
chinchilla_barking_01_01,chinchilla barking.
chinchilla_barking_02_01,The sound of chinchilla barking.
chinchilla_barking_03_01,An audio clip of chinchilla barking.
people_whistling_01_01,people whistling.
people_whistling_02_01,The sound of people whistling.
people_whistling_03_01,An audio clip of people whistling.
spraying_water_01_01,spraying water.
spraying_water_02_01,The sound of spraying water.
spraying_water_03_01,An audio clip of spraying water.
playing_tuning_fork_01_01,playing tuning fork.
playing_tuning_fork_02_01,The sound of playing tuning fork.
playing_tuning_fork_03_01,An audio clip of playing tuning fork.
train_wheels_squealing_01_01,train wheels squealing.
train_wheels_squealing_02_01,The sound of train wheels squealing.
train_wheels_squealing_03_01,An audio clip of train wheels squealing.
bird_chirping_tweeting_01_01,"bird chirping, tweeting."
bird_chirping_tweeting_02_01,"The sound of bird chirping, tweeting."
bird_chirping_tweeting_03_01,"An audio clip of bird chirping, tweeting."
tornado_roaring_01_01,tornado roaring.
tornado_roaring_02_01,The sound of tornado roaring.
tornado_roaring_03_01,An audio clip of tornado roaring.
writing_on_blackboard_with_chalk_01_01,writing on blackboard with chalk.
writing_on_blackboard_with_chalk_02_01,The sound of writing on blackboard with chalk.
writing_on_blackboard_with_chalk_03_01,An audio clip of writing on blackboard with chalk.
extending_ladders_01_01,extending ladders.
extending_ladders_02_01,The sound of extending ladders.
extending_ladders_03_01,An audio clip of extending ladders.
scuba_diving_01_01,scuba diving.
scuba_diving_02_01,The sound of scuba diving.
scuba_diving_03_01,An audio clip of scuba diving.
typing_on_typewriter_01_01,typing on typewriter.
typing_on_typewriter_02_01,The sound of typing on typewriter.
typing_on_typewriter_03_01,An audio clip of typing on typewriter.
dog_howling_01_01,dog howling.
dog_howling_02_01,The sound of dog howling.
dog_howling_03_01,An audio clip of dog howling.
people_slurping_01_01,people slurping.
people_slurping_02_01,The sound of people slurping.
people_slurping_03_01,An audio clip of people slurping.
snake_rattling_01_01,snake rattling.
snake_rattling_02_01,The sound of snake rattling.
snake_rattling_03_01,An audio clip of snake rattling.
wind_chime_01_01,wind chime.
wind_chime_02_01,The sound of wind chime.
wind_chime_03_01,An audio clip of wind chime.
cheetah_chirrup_01_01,cheetah chirrup.
cheetah_chirrup_02_01,The sound of cheetah chirrup.
cheetah_chirrup_03_01,An audio clip of cheetah chirrup.
children_shouting_01_01,children shouting.
children_shouting_02_01,The sound of children shouting.
children_shouting_03_01,An audio clip of children shouting.
playing_gong_01_01,playing gong.
playing_gong_02_01,The sound of playing gong.
playing_gong_03_01,An audio clip of playing gong.
people_humming_01_01,people humming.
people_humming_02_01,The sound of people humming.
people_humming_03_01,An audio clip of people humming.
snake_hissing_01_01,snake hissing.
snake_hissing_02_01,The sound of snake hissing.
snake_hissing_03_01,An audio clip of snake hissing.
cat_hissing_01_01,cat hissing.
cat_hissing_02_01,The sound of cat hissing.
cat_hissing_03_01,An audio clip of cat hissing.
people_gargling_01_01,people gargling.
people_gargling_02_01,The sound of people gargling.
people_gargling_03_01,An audio clip of people gargling.
blowtorch_igniting_01_01,blowtorch igniting.
blowtorch_igniting_02_01,The sound of blowtorch igniting.
blowtorch_igniting_03_01,An audio clip of blowtorch igniting.
playing_bugle_01_01,playing bugle.
playing_bugle_02_01,The sound of playing bugle.
playing_bugle_03_01,An audio clip of playing bugle.
dinosaurs_bellowing_01_01,dinosaurs bellowing.
dinosaurs_bellowing_02_01,The sound of dinosaurs bellowing.
dinosaurs_bellowing_03_01,An audio clip of dinosaurs bellowing.
chipmunk_chirping_01_01,chipmunk chirping.
chipmunk_chirping_02_01,The sound of chipmunk chirping.
chipmunk_chirping_03_01,An audio clip of chipmunk chirping.
playing_zither_01_01,playing zither.
playing_zither_02_01,The sound of playing zither.
playing_zither_03_01,An audio clip of playing zither.
playing_darts_01_01,playing darts.
playing_darts_02_01,The sound of playing darts.
playing_darts_03_01,An audio clip of playing darts.
chopping_wood_01_01,chopping wood.
chopping_wood_02_01,The sound of chopping wood.
chopping_wood_03_01,An audio clip of chopping wood.
shot_football_01_01,shot football.
shot_football_02_01,The sound of shot football.
shot_football_03_01,An audio clip of shot football.
sea_lion_barking_01_01,sea lion barking.
sea_lion_barking_02_01,The sound of sea lion barking.
sea_lion_barking_03_01,An audio clip of sea lion barking.
dog_baying_01_01,dog baying.
dog_baying_02_01,The sound of dog baying.
dog_baying_03_01,An audio clip of dog baying.
sloshing_water_01_01,sloshing water.
sloshing_water_02_01,The sound of sloshing water.
sloshing_water_03_01,An audio clip of sloshing water.
black_capped_chickadee_calling_01_01,black capped chickadee calling.
black_capped_chickadee_calling_02_01,The sound of black capped chickadee calling.
black_capped_chickadee_calling_03_01,An audio clip of black capped chickadee calling.
lions_roaring_01_01,lions roaring.
lions_roaring_02_01,The sound of lions roaring.
lions_roaring_03_01,An audio clip of lions roaring.
playing_guiro_01_01,playing guiro.
playing_guiro_02_01,The sound of playing guiro.
playing_guiro_03_01,An audio clip of playing guiro.
striking_bowling_01_01,striking bowling.
striking_bowling_02_01,The sound of striking bowling.
striking_bowling_03_01,An audio clip of striking bowling.
bouncing_on_trampoline_01_01,bouncing on trampoline.
bouncing_on_trampoline_02_01,The sound of bouncing on trampoline.
bouncing_on_trampoline_03_01,An audio clip of bouncing on trampoline.
eagle_screaming_01_01,eagle screaming.
eagle_screaming_02_01,The sound of eagle screaming.
eagle_screaming_03_01,An audio clip of eagle screaming.
hedge_trimmer_running_01_01,hedge trimmer running.
hedge_trimmer_running_02_01,The sound of hedge trimmer running.
hedge_trimmer_running_03_01,An audio clip of hedge trimmer running.
bathroom_ventilation_fan_running_01_01,bathroom ventilation fan running.
bathroom_ventilation_fan_running_02_01,The sound of bathroom ventilation fan running.
bathroom_ventilation_fan_running_03_01,An audio clip of bathroom ventilation fan running.
hair_dryer_drying_01_01,hair dryer drying.
hair_dryer_drying_02_01,The sound of hair dryer drying.
hair_dryer_drying_03_01,An audio clip of hair dryer drying.
cutting_hair_with_electric_trimmers_01_01,cutting hair with electric trimmers.
cutting_hair_with_electric_trimmers_02_01,The sound of cutting hair with electric trimmers.
cutting_hair_with_electric_trimmers_03_01,An audio clip of cutting hair with electric trimmers.
people_eating_apple_01_01,people eating apple.
people_eating_apple_02_01,The sound of people eating apple.
people_eating_apple_03_01,An audio clip of people eating apple.
fly_housefly_buzzing_01_01,"fly, housefly buzzing."
fly_housefly_buzzing_02_01,"The sound of fly, housefly buzzing."
fly_housefly_buzzing_03_01,"An audio clip of fly, housefly buzzing."
bull_bellowing_01_01,bull bellowing.
bull_bellowing_02_01,The sound of bull bellowing.
bull_bellowing_03_01,An audio clip of bull bellowing.
otter_growling_01_01,otter growling.
otter_growling_02_01,The sound of otter growling.
otter_growling_03_01,An audio clip of otter growling.
opening_or_closing_car_electric_windows_01_01,opening or closing car electric windows.
opening_or_closing_car_electric_windows_02_01,The sound of opening or closing car electric windows.
opening_or_closing_car_electric_windows_03_01,An audio clip of opening or closing car electric windows.
warbler_chirping_01_01,warbler chirping.
warbler_chirping_02_01,The sound of warbler chirping.
warbler_chirping_03_01,An audio clip of warbler chirping.
goat_bleating_01_01,goat bleating.
goat_bleating_02_01,The sound of goat bleating.
goat_bleating_03_01,An audio clip of goat bleating.
whale_calling_01_01,whale calling.
whale_calling_02_01,The sound of whale calling.
whale_calling_03_01,An audio clip of whale calling.
acoustic_guitar_01_01,Acoustic_guitar.
acoustic_guitar_02_01,The sound of Acoustic_guitar.
acoustic_guitar_03_01,An audio clip of Acoustic_guitar.
applause_01_01,Applause.
applause_02_01,The sound of Applause.
applause_03_01,An audio clip of Applause.
bark_01_01,Bark.
bark_02_01,The sound of Bark.
bark_03_01,An audio clip of Bark.
bass_drum_01_01,Bass_drum.
bass_drum_02_01,The sound of Bass_drum.
bass_drum_03_01,An audio clip of Bass_drum.
burping_or_eructation_01_01,Burping_or_eructation.
burping_or_eructation_02_01,The sound of Burping_or_eructation.
burping_or_eructation_03_01,An audio clip of Burping_or_eructation.
bus_01_01,Bus.
bus_02_01,The sound of Bus.
bus_03_01,An audio clip of Bus.
cello_01_01,Cello.
cello_02_01,The sound of Cello.
cello_03_01,An audio clip of Cello.
chime_01_01,Chime.
chime_02_01,The sound of Chime.
chime_03_01,An audio clip of Chime.
clarinet_01_01,Clarinet.
clarinet_02_01,The sound of Clarinet.
clarinet_03_01,An audio clip of Clarinet.
computer_keyboard_01_01,Computer_keyboard.
computer_keyboard_02_01,The sound of Computer_keyboard.
computer_keyboard_03_01,An audio clip of Computer_keyboard.
cough_01_01,Cough.
cough_02_01,The sound of Cough.
cough_03_01,An audio clip of Cough.
cowbell_01_01,Cowbell.
cowbell_02_01,The sound of Cowbell.
cowbell_03_01,An audio clip of Cowbell.
double_bass_01_01,Double_bass.
double_bass_02_01,The sound of Double_bass.
double_bass_03_01,An audio clip of Double_bass.
drawer_open_or_close_01_01,Drawer_open_or_close.
drawer_open_or_close_02_01,The sound of Drawer_open_or_close.
drawer_open_or_close_03_01,An audio clip of Drawer_open_or_close.
electric_piano_01_01,Electric_piano.
electric_piano_02_01,The sound of Electric_piano.
electric_piano_03_01,An audio clip of Electric_piano.
fart_01_01,Fart.
fart_02_01,The sound of Fart.
fart_03_01,An audio clip of Fart.
finger_snapping_01_01,Finger_snapping.
finger_snapping_02_01,The sound of Finger_snapping.
finger_snapping_03_01,An audio clip of Finger_snapping.
fireworks_01_01,Fireworks.
fireworks_02_01,The sound of Fireworks.
fireworks_03_01,An audio clip of Fireworks.
flute_01_01,Flute.
flute_02_01,The sound of Flute.
flute_03_01,An audio clip of Flute.
glockenspiel_01_01,Glockenspiel.
glockenspiel_02_01,The sound of Glockenspiel.
glockenspiel_03_01,An audio clip of Glockenspiel.
gong_01_01,Gong.
gong_02_01,The sound of Gong.
gong_03_01,An audio clip of Gong.
gunshot_or_gunfire_01_01,Gunshot_or_gunfire.
gunshot_or_gunfire_02_01,The sound of Gunshot_or_gunfire.
gunshot_or_gunfire_03_01,An audio clip of Gunshot_or_gunfire.
harmonica_01_01,Harmonica.
harmonica_02_01,The sound of Harmonica.
harmonica_03_01,An audio clip of Harmonica.
hi-hat_01_01,Hi-hat.
hi-hat_02_01,The sound of Hi-hat.
hi-hat_03_01,An audio clip of Hi-hat.
keys_jangling_01_01,Keys_jangling.
keys_jangling_02_01,The sound of Keys_jangling.
keys_jangling_03_01,An audio clip of Keys_jangling.
knock_01_01,Knock.
knock_02_01,The sound of Knock.
knock_03_01,An audio clip of Knock.
laughter_01_01,Laughter.
laughter_02_01,The sound of Laughter.
laughter_03_01,An audio clip of Laughter.
meow_01_01,Meow.
meow_02_01,The sound of Meow.
meow_03_01,An audio clip of Meow.
microwave_oven_01_01,Microwave_oven.
microwave_oven_02_01,The sound of Microwave_oven.
microwave_oven_03_01,An audio clip of Microwave_oven.
oboe_01_01,Oboe.
oboe_02_01,The sound of Oboe.
oboe_03_01,An audio clip of Oboe.
saxophone_01_01,Saxophone.
saxophone_02_01,The sound of Saxophone.
saxophone_03_01,An audio clip of Saxophone.
scissors_01_01,Scissors.
scissors_02_01,The sound of Scissors.
scissors_03_01,An audio clip of Scissors.
shatter_01_01,Shatter.
shatter_02_01,The sound of Shatter.
shatter_03_01,An audio clip of Shatter.
snare_drum_01_01,Snare_drum.
snare_drum_02_01,The sound of Snare_drum.
snare_drum_03_01,An audio clip of Snare_drum.
squeak_01_01,Squeak.
squeak_02_01,The sound of Squeak.
squeak_03_01,An audio clip of Squeak.
tambourine_01_01,Tambourine.
tambourine_02_01,The sound of Tambourine.
tambourine_03_01,An audio clip of Tambourine.
tearing_01_01,Tearing.
tearing_02_01,The sound of Tearing.
tearing_03_01,An audio clip of Tearing.
telephone_01_01,Telephone.
telephone_02_01,The sound of Telephone.
telephone_03_01,An audio clip of Telephone.
trumpet_01_01,Trumpet.
trumpet_02_01,The sound of Trumpet.
trumpet_03_01,An audio clip of Trumpet.
violin_or_fiddle_01_01,Violin_or_fiddle.
violin_or_fiddle_02_01,The sound of Violin_or_fiddle.
violin_or_fiddle_03_01,An audio clip of Violin_or_fiddle.
writing_01_01,Writing.
writing_02_01,The sound of Writing.
writing_03_01,An audio clip of Writing.
